code,regname,si,creatd_at,updated_at
11B10101,서울,서울특별시,2021-06-04 14:01:35,2021-06-04 14:01:35
11B20201,인천,인천광역시,2021-06-04 14:01:35,2021-06-04 14:01:35
11B20601,수원,경기도,2021-06-04 14:01:35,2021-06-04 14:01:35
11B20305,파주,경기도,2021-06-04 14:01:35,2021-06-04 14:01:35
11D10301,춘천,강원도,2021-06-04 14:01:35,2021-06-04 14:01:35
11D10401,원주,강원도,2021-06-04 14:01:35,2021-06-04 14:01:35
11D20501,강릉,강원도,2021-06-04 14:01:35,2021-06-04 14:01:35
11C20401,대전,대전광역시,2021-06-04 14:01:35,2021-06-04 14:01:35
11C20101,서산,충청남도,2021-06-04 14:01:35,2021-06-04 14:01:35
11C20404,세종,세종특별자치시,2021-06-04 14:01:35,2021-06-04 14:01:35
11G00401,서귀포,제주특별자치도,2021-06-04 14:01:51,2021-06-04 14:01:51
11F20501,광주,광주광역시,2021-06-04 14:01:51,2021-06-04 14:01:51
21F20801,목포,전라남도,2021-06-04 14:01:51,2021-06-04 14:01:51
11F20401,여수,전라남도,2021-06-04 14:01:51,2021-06-04 14:01:51
11F10201,전주,전라북도,2021-06-04 14:01:51,2021-06-04 14:01:51
21F10501,군산,전라북도,2021-06-04 14:01:51,2021-06-04 14:01:51
11H20201,부산,부산광역시,2021-06-04 14:01:51,2021-06-04 14:01:51
11H20101,울산,울산광역시,2021-06-04 14:01:51,2021-06-04 14:01:51
11H20301,창원,경상남도,2021-06-04 14:01:51,2021-06-04 14:01:51
11H10701,대구,대구광역시,2021-06-04 14:01:51,2021-06-04 14:01:51
11C20101,음성,충청북도,2021-06-04 14:23:06,2021-06-04 14:23:06
11H20201,경상북도,경상북도,2021-06-04 14:24:15,2021-06-04 14:24:15
11B10101,서울,서울특별시,2021-06-04 14:01:35,2021-06-04 14:01:35
11B20201,인천,인천광역시,2021-06-04 14:01:35,2021-06-04 14:01:35
11B20601,수원,경기도,2021-06-04 14:01:35,2021-06-04 14:01:35
11B20305,파주,경기도,2021-06-04 14:01:35,2021-06-04 14:01:35
11D10301,춘천,강원도,2021-06-04 14:01:35,2021-06-04 14:01:35
11D10401,원주,강원도,2021-06-04 14:01:35,2021-06-04 14:01:35
11D20501,강릉,강원도,2021-06-04 14:01:35,2021-06-04 14:01:35
11C20401,대전,대전광역시,2021-06-04 14:01:35,2021-06-04 14:01:35
11C20101,서산,충청남도,2021-06-04 14:01:35,2021-06-04 14:01:35
11C20404,세종,세종특별자치시,2021-06-04 14:01:35,2021-06-04 14:01:35
11G00401,서귀포,제주특별자치도,2021-06-04 14:01:51,2021-06-04 14:01:51
11F20501,광주,광주광역시,2021-06-04 14:01:51,2021-06-04 14:01:51
21F20801,목포,전라남도,2021-06-04 14:01:51,2021-06-04 14:01:51
11F20401,여수,전라남도,2021-06-04 14:01:51,2021-06-04 14:01:51
11F10201,전주,전라북도,2021-06-04 14:01:51,2021-06-04 14:01:51
21F10501,군산,전라북도,2021-06-04 14:01:51,2021-06-04 14:01:51
11H20201,부산,부산광역시,2021-06-04 14:01:51,2021-06-04 14:01:51
11H20101,울산,울산광역시,2021-06-04 14:01:51,2021-06-04 14:01:51
11H20301,창원,경상남도,2021-06-04 14:01:51,2021-06-04 14:01:51
11H10701,대구,대구광역시,2021-06-04 14:01:51,2021-06-04 14:01:51
11C20101,음성,충청북도,2021-06-04 14:23:06,2021-06-04 14:23:06
11H20201,경상북도,경상북도,2021-06-04 14:24:15,2021-06-04 14:24:15
